Business Name,Category,Address,Phone,Email,Website URL,Website Status,Notes
Bíltech ehf,bílaverkstæði,"Lynghálsi 10, 110 Reykjavík",8689800,,,No Website,
Bílaþjónustan Bilaði bíllinn slf,bílaverkstæði,"Auðbrekku 25-27, 200 Kópavogi",6152562,,,No Website,
Dugull ehf,bílaverkstæði,"Þrúðvangi 8, 850 Hellu",7718952,,,No Website,
Bifreiðaverkstæðið Bíltak,bílaverkstæði,"Stórhöfða 16, 110 Reykjavík",5538400,,,No Website,
Bíleyri ehf,bílaverkstæði,"Laufásgötu 9, 600 Akureyri",4626301,,,No Website,
Bílaþjónusta Fitjavíkur sf,bílaverkstæði,"Njarðarbraut 3d, 260 Reykjanesbæ",5625050,,,No Website,
Filtertækni ehf,"bílaverkstæði, smurstöð, hjólbarðaverkstæði","Eyrartröð 7-9, 220 Hafnarfirði",5751500,,,No Website,
Bifreiðaverkstæði KS,bílaverkstæði,"Hesteyri 2, 550 Sauðárkróki",4554570,,https://www.creditinfo.is/framurskarandi/,Modern,
Ræsir bílaþjónustan hjálp,bílaverkstæði,"Flugumýri 16c, 270 Mosfellsbæ",5558666,,,No Website,
Bifreiðaverkstæði Blönduós ehf,bílaverkstæði,"Norðurlandsvegi 4, 540 Blönduósi",4522600,,,No Website,
Bremsan ehf,bílaverkstæði,"Smiðjuvegi 20c, græn gata, 200 Kópavogi",8200505,,,No Website,
Bílar og Hjól ehf,bílaverkstæði,"Njarðarbraut 11a, 260 Reykjanesbæ",4211118,,,No Website,
Qvissbang Bílaverkstæði ehf,bílaverkstæði,"Drekavöllum 30, 221 Hafnarfirði",8600400,,,No Website,
220 Viðgerðir Og Smíði ehf,bílaverkstæði,"Helluhrauni 10, 220 Hafnarfirði",5835500,,,No Website,
Armur dráttarbílar,bílaverkstæði,"Drangahrauni 10, 220 Hafnarfirði",6639700,,,No Website,
Bílabrekka,bílaverkstæði,"Auðbrekku 15, 200 Kópavogi",5917077,,,No Website,
Bílarétting Beyja,bílaverkstæði,"Frostagötu 6b, 603 Akureyri",4627590,,,No Website,
Bergfinnur ehf,bílaverkstæði,"Helgubraut 8, 200 Kópavogi",8927852,,,No Website,
Car Art ehf,bílaverkstæði,"Njarðarnesi 10, 603 Akureyri",4621005,,,No Website,
Bílamálunin Örninn ehf,bílaverkstæði,"Arkarholti 6, 270 Mosfellsbæ",8971348,,,No Website,
Detail Shop ehf,"bílaverkstæði, smurstöð, hjólbarðaverkstæði, bónstöð","Dalsbraut 1L-M, 600 Akureyri",4604350,,,No Website,
Flexo ehf,bílaverkstæði,"Selvík 5, 230 Reykjanesbæ",5711410,,,No Website,
AB Bifreiðaverkstæði,"bílaverkstæði, pústverkstæði","Tangarhöfða 13, 110 Reykjavík",5556020,,,No Website,
Bifreiðaverkstæði H Bjarnasonar,bílaverkstæði,"Njarðarbraut 20, 420 Súðavík",8938857,,,No Website,
Bílaverkstæði Hörra ehf,bílaverkstæði,"Skemmuvegi 12, 200 Kópavogi",6667170,,,No Website,
Bifreiðaverkstæðið Ásinn ehf,bílaverkstæði,"Kalmansvöllum 3, 300 Akranesi",4315050,,,No Website,
Engey hf,"bílaverkstæði, útgerð","Sundabakka 4, 340 Stykkishólmi",8938171,,,No Website,
SS bíla- og vélaviðgerðir ehf,bílaverkstæði,"Dalsbraut 1, 600 Akureyri",8600200,,,No Website,
Bílbót ehf,bílaverkstæði,"Bolafæti 3, 260 Reykjanesbæ",4214117,,,No Website,
Þórður Hansen ehf verkstæði,bílaverkstæði,"Borgartúni 8, 550 Sauðárkróki",4535080,,https://www.creditinfo.is/framurskarandi/,Modern,
JL Tækni slf,bílaverkstæði,"Norðurhellu 8, 221 Hafnarfirði",8533340,,,No Website,
Bílavaktin ehf,bílaverkstæði,"Kaplahrauni 15, 220 Hafnarfirði",6943035,,,No Website,
Bílaverkstæðið Fram ehf,bílaverkstæði,"Dalvegi 28, 201 Kópavogi",6943279,,,No Website,
Toyota Þjónusta Reykjanesbæ,bílaverkstæði,"Njarðarbraut 19, 260 Reykjanesbæ",4206600,,,No Website,
RT Bílar ehf.,bílaverkstæði,"Breiðhellu 12, 221 Hafnarfirði",4156430,,,No Website,
BMV,"bílasala, bílaverkstæði","Ólafsvegi 23, 625 Ólafsfirði",8615385,,,No Website,
Bílaþjónustan 58 ehf,bílaverkstæði,"Smiðjuvegi 58, 200 Kópavogi",8606868,,,No Website,
GB bílar,bílaþjónusta,"Hlíðarbrún, 803 Selfossi (dreifbýli)",8943063,,,No Website,
BSB og synir ehf,bílaverkstæði,"Goðanesi 16, 603 Akureyri",8944514,,,No Website,
Bifreiðasmiðja Sigurbjörns Bjarnasonar ehf,bílaverkstæði,"Kársnesbraut 102, 200 Kópavogi",5544221,,,No Website,
Arctic Trucks Ísland ehf,bílaverkstæði,"Kletthálsi 3, 110 Reykjavík",5404900,,,No Website,
Bón- og Pústþjónustan,"bílaverkstæði, bónstöð, pústverkstæði","Lagarbraut 7, 700 Egilsstöðum",4713113,,,No Website,
Norðurtækni ehf,bílaverkstæði,"Draupnisgötu 6, 603 Akureyri",8396000,,,No Website,
Bílalausnir bílaverkstæði,bílaverkstæði,"Bugðufljóti 9, 270 Mosfellsbæ",5111200,,,No Website,
Nýja Bílasmiðjan hf,bílaverkstæði,"Flugumýri 20, 270 Mosfellsbæ",5668200,,,No Website,
Aðalverkstæðið ehf,bílaverkstæði,"Malarhöfða 2, 110 Reykjavík",5774004,,,No Website,
Bílaver Ák ehf,bílaverkstæði,"Iðavöllum 9c, 230 Reykjanesbæ",4218085,,,No Website,
Bifreiðaverkstæði Bjarnhéðins ehf,bílaverkstæði,"Fjölnisgötu 2a, 603 Akureyri",4622499,,,No Website,
Bifreiðaverkstæði Björns P ehf,bílaverkstæði,"Smiðjuvegi 40, 200 Kópavogi",8204340,,,No Website,
Ó S Bílaþjónusta ehf,bílaverkstæði,"Hafnargötu 10, 710 Seyðisfirði",8964768,,,No Website,
GB Tjónaviðgerðir ehf,bílaverkstæði,"Viðarhöfða 6, 110 Reykjavík",5670690,tjon@tjon.is,http://tjon.is/,Modern,
Orka ehf,bílaverkstæði,"Dalvegi 30, 201 Kópavogi",5861900,orka@orka.is,https://www.orka.is/,Modern,
Bílanaust verslun,varahlutaverslun,"Bíldshöfða 12, 110 Reykjavík",5359000,bilanaust@bilanaust.is,http://www.bilanaust.is/,Modern,
H.Jónsson ehf Bílaréttingar H. Jónssonar,bílaverkstæði,"Skemmuvegi 30, 200 Kópavogi",5872286,hjonsson@hjonsson.is,http://hjonsson.is/,Aging,
